model,format,cases,routing_exact_pct,tool_only_pct,parse_failure_count,gpio_exact_pct,other_exact_pct,median_latency_s
Llama-3.2-1B-Instruct-Q4_K_M.gguf,json,20,45.0,45.0,7,58.333333333333336,25.0,7.543618
Llama-3.2-1B-Instruct-Q4_K_M.gguf,yaml,20,45.0,45.0,8,25.0,75.0,11.9541285
Llama-3.2-1B-Instruct-Q4_K_M.gguf,xml,20,30.0,40.0,10,41.666666666666664,12.5,33.786725000000004
Llama-3.2-1B-Instruct-Q4_K_M.gguf,natural,20,25.0,25.0,15,0.0,62.5,13.7714415
Qwen3.5-0.8B-Q4_K_M.gguf,json,20,75.0,90.0,2,75.0,75.0,5.071546
Qwen3.5-0.8B-Q4_K_M.gguf,yaml,20,85.0,90.0,1,75.0,100.0,4.8568905
Qwen3.5-0.8B-Q4_K_M.gguf,xml,20,0.0,0.0,20,0.0,0.0,7.903498
Qwen3.5-0.8B-Q4_K_M.gguf,natural,20,70.0,75.0,5,50.0,100.0,4.521762000000001
SmolLM2-135M-Instruct-Q4_K_M.gguf,json,20,0.0,0.0,20,0.0,0.0,6.642647
SmolLM2-135M-Instruct-Q4_K_M.gguf,yaml,20,0.0,0.0,19,0.0,0.0,5.7620225
SmolLM2-135M-Instruct-Q4_K_M.gguf,xml,20,0.0,0.0,20,0.0,0.0,6.354722000000001
SmolLM2-135M-Instruct-Q4_K_M.gguf,natural,20,0.0,0.0,20,0.0,0.0,5.75999
SmolLM2-360M-Instruct-Q4_K_M.gguf,json,20,15.0,25.0,15,25.0,0.0,6.591365
SmolLM2-360M-Instruct-Q4_K_M.gguf,yaml,20,0.0,0.0,20,0.0,0.0,2.33294
SmolLM2-360M-Instruct-Q4_K_M.gguf,xml,20,10.0,25.0,12,16.666666666666668,0.0,6.916054000000001
SmolLM2-360M-Instruct-Q4_K_M.gguf,natural,20,10.0,10.0,18,0.0,25.0,7.083238
gemma-3-270m-it-Q4_K_M.gguf,json,20,10.0,15.0,6,16.666666666666668,0.0,3.825189
gemma-3-270m-it-Q4_K_M.gguf,yaml,20,0.0,0.0,20,0.0,0.0,9.103895
gemma-3-270m-it-Q4_K_M.gguf,xml,20,0.0,0.0,20,0.0,0.0,0.42428
gemma-3-270m-it-Q4_K_M.gguf,natural,20,5.0,5.0,19,0.0,12.5,9.142968
qwen3-0.6b-Q4_K_M.gguf,json,20,80.0,90.0,0,75.0,87.5,6.9168875
qwen3-0.6b-Q4_K_M.gguf,yaml,20,75.0,80.0,0,66.66666666666667,87.5,5.495782999999999
qwen3-0.6b-Q4_K_M.gguf,xml,20,0.0,0.0,20,0.0,0.0,7.656025
qwen3-0.6b-Q4_K_M.gguf,natural,20,50.0,50.0,9,50.0,50.0,4.616581500000001
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,json,20,0.0,0.0,20,0.0,0.0,30.789807500000002
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,yaml,20,5.0,10.0,17,8.333333333333334,0.0,26.701514500000002
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,xml,20,0.0,0.0,20,0.0,0.0,28.613087999999998
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,natural,20,5.0,5.0,19,0.0,12.5,25.067110999999997
