model,model_size_mb,format,cases,routing_exact_pct,routing_exact_count,tool_only_pct,parse_failure_count,parse_failure_pct,gpio_exact_pct,other_exact_pct,total_time_s,avg_latency_s,median_latency_s,avg_prompt_tps,avg_gen_tps,avg_temp_c,max_temp_c
Llama-3.2-1B-Instruct-Q4_K_M.gguf,770.277,json,30,46.666666666666664,14,46.666666666666664,11,36.666666666666664,62.5,28.571428571428573,378.949,12.630747033333334,7.7184675,5.218881746018374,2.919937061545703,75.21126666666666,76.932
Llama-3.2-1B-Instruct-Q4_K_M.gguf,770.277,yaml,30,53.333333333333336,16,56.666666666666664,9,30.0,31.25,78.57142857142857,524.716,17.489521333333332,12.5464045,5.881086511305636,3.136936185710703,78.6852,79.854
Llama-3.2-1B-Instruct-Q4_K_M.gguf,770.277,xml,30,36.666666666666664,11,46.666666666666664,14,46.666666666666664,43.75,28.571428571428573,898.119,29.9344939,33.974674,5.526841510967564,2.954447360796005,79.367,80.341
Llama-3.2-1B-Instruct-Q4_K_M.gguf,770.277,natural,30,30.0,9,30.0,20,66.66666666666667,0.0,64.28571428571429,453.733,15.123507766666666,11.4765155,6.169845377410168,3.280100805548425,80.94163333333333,82.289
Qwen3.5-0.8B-Q4_K_M.gguf,507.848,json,30,70.0,21,86.66666666666667,3,10.0,68.75,71.42857142857143,227.885,7.595265533333333,5.1026295,9.971978193590902,4.087146779017898,80.9741,82.776
Qwen3.5-0.8B-Q4_K_M.gguf,507.848,yaml,30,86.66666666666667,26,90.0,2,6.666666666666667,75.0,100.0,210.025,6.9998604,4.958879,10.820752233785147,4.323765548956009,81.6559,83.263
Qwen3.5-0.8B-Q4_K_M.gguf,507.848,xml,30,0.0,0,0.0,30,100.0,0.0,0.0,282.36,9.410461166666666,7.721256,10.654042837654924,4.28463263838856,81.62343333333334,83.263
Qwen3.5-0.8B-Q4_K_M.gguf,507.848,natural,30,66.66666666666667,20,73.33333333333333,7,23.333333333333332,43.75,92.85714285714286,165.08,5.5016583,4.5259065,11.063527172468092,4.418791893686155,82.2403,83.263
SmolLM2-135M-Instruct-Q4_K_M.gguf,100.569,json,30,0.0,0,0.0,30,100.0,0.0,0.0,189.904,6.329321666666667,6.66952,25.597519823405314,15.44077325952459,82.02926666666667,83.263
SmolLM2-135M-Instruct-Q4_K_M.gguf,100.569,yaml,30,3.3333333333333335,1,3.3333333333333335,28,93.33333333333333,0.0,7.142857142857143,148.13,4.936726533333333,5.8885645,28.95613772719014,17.339989841779214,82.90586666666667,83.75
SmolLM2-135M-Instruct-Q4_K_M.gguf,100.569,xml,30,0.0,0,0.0,30,100.0,0.0,0.0,164.136,5.469618166666667,6.547307,25.326478200678714,15.618883147436172,83.263,84.237
SmolLM2-135M-Instruct-Q4_K_M.gguf,100.569,natural,30,0.0,0,3.3333333333333335,29,96.66666666666667,0.0,0.0,163.448,5.447332366666666,5.9595705,29.368704273881377,17.11951592685781,83.2143,84.237
SmolLM2-360M-Instruct-Q4_K_M.gguf,258.055,json,30,10.0,3,20.0,24,80.0,18.75,0.0,263.246,8.774009466666667,7.067800999999999,11.331655178084496,7.432601427644371,82.74353333333333,84.724
SmolLM2-360M-Instruct-Q4_K_M.gguf,258.055,yaml,30,0.0,0,0.0,30,100.0,0.0,0.0,162.046,5.4005435,2.5623,13.183978236008098,8.168698588930534,82.32146666666667,83.75
SmolLM2-360M-Instruct-Q4_K_M.gguf,258.055,xml,30,6.666666666666667,2,20.0,21,70.0,12.5,0.0,294.059,9.800362666666667,7.256914500000001,12.106112135512578,7.535461916620931,81.99680000000001,83.263
SmolLM2-360M-Instruct-Q4_K_M.gguf,258.055,natural,30,13.333333333333334,4,13.333333333333334,26,86.66666666666667,0.0,28.571428571428573,201.97,6.7313936000000005,7.014633,13.812053643591168,8.162150570056392,81.9481,83.263
gemma-3-270m-it-Q4_K_M.gguf,241.39,json,30,6.666666666666667,2,10.0,12,40.0,12.5,0.0,111.769,3.7247211333333334,3.9406784999999998,30.593023328605945,6.927607300548025,79.5618,80.828
gemma-3-270m-it-Q4_K_M.gguf,241.39,yaml,30,0.0,0,0.0,30,100.0,0.0,0.0,288.902,9.629143566666666,9.158387999999999,33.27478891262828,10.796911309307761,79.28583333333333,81.315
gemma-3-270m-it-Q4_K_M.gguf,241.39,xml,30,0.0,0,0.0,30,100.0,0.0,0.0,48.566,1.6173643333333334,0.4567005,32.916952826667654,4.306242771389391,80.12996666666666,81.802
gemma-3-270m-it-Q4_K_M.gguf,241.39,natural,30,3.3333333333333335,1,3.3333333333333335,26,86.66666666666667,0.0,7.142857142857143,202.605,6.7525975,9.2027785,33.849275781074,10.685867224441205,78.3443,79.854
qwen3-0.6b-Q4_K_M.gguf,461.788,json,30,83.33333333333333,25,90.0,1,3.3333333333333335,81.25,85.71428571428571,270.426,9.0129201,7.175565,6.636146854343121,3.862888543121107,79.1722,80.341
qwen3-0.6b-Q4_K_M.gguf,461.788,yaml,30,80.0,24,83.33333333333333,0,0.0,75.0,85.71428571428571,196.149,6.537284733333333,5.4806989999999995,7.999942553252447,4.417128886361313,79.64296666666667,80.828
qwen3-0.6b-Q4_K_M.gguf,461.788,xml,30,0.0,0,0.0,30,100.0,0.0,0.0,299.097,9.968340733333333,7.9319885,7.271125933369749,4.255950362270699,80.32476666666666,82.289
qwen3-0.6b-Q4_K_M.gguf,461.788,natural,30,53.333333333333336,16,53.333333333333336,12,40.0,50.0,57.142857142857146,161.246,5.373894233333333,4.567822,8.671892504332211,4.8902830518816085,80.7793,82.289
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,637.806,json,30,0.0,0,0.0,30,100.0,0.0,0.0,920.494,30.682263233333334,30.7899665,5.568611503994518,3.405119773229015,81.81823333333334,82.776
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,637.806,yaml,30,10.0,3,13.333333333333334,24,80.0,12.5,7.142857142857143,832.151,27.737389333333333,26.979215500000002,6.0832494136641735,3.8888386667997312,82.74353333333333,84.237
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,637.806,xml,30,0.0,0,0.0,30,100.0,0.0,0.0,910.941,30.363106266666666,29.0559315,5.605639604303327,3.6319627498165072,82.9708,84.724
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,637.806,natural,30,3.3333333333333335,1,3.3333333333333335,29,96.66666666666667,0.0,7.142857142857143,742.049,24.734020166666667,25.590830500000003,6.224066948589956,4.097688531176382,83.39286666666666,84.724
