run,expected_tool,predicted_tool,count
core5,NO_CALL,NO_CALL,107
core5,NO_CALL,get_system_status,8
core5,NO_CALL,restart_service,5
core5,get_disk_usage,NO_CALL,2
core5,get_disk_usage,get_disk_usage,7
core5,get_disk_usage,get_system_status,4
core5,get_network_status,NO_CALL,10
core5,get_network_status,get_network_status,3
core5,get_network_status,get_system_status,17
core5,get_system_status,get_system_status,14
core5,restart_service,restart_service,18
level10,NO_CALL,NO_CALL,103
level10,NO_CALL,get_system_status,9
level10,NO_CALL,get_temperature,2
level10,NO_CALL,list_usb_devices,1
level10,NO_CALL,restart_service,5
level10,get_cpu_frequency,get_cpu_frequency,3
level10,get_cpu_frequency,get_system_status,4
level10,get_disk_usage,get_disk_usage,2
level10,get_disk_usage,get_system_status,11
level10,get_network_status,NO_CALL,9
level10,get_network_status,get_camera_status,2
level10,get_network_status,get_cpu_frequency,4
level10,get_network_status,get_network_status,5
level10,get_network_status,get_system_status,10
level10,get_system_status,get_cpu_frequency,4
level10,get_system_status,get_system_status,10
level10,get_temperature,NO_CALL,6
level10,get_temperature,get_system_status,8
level10,get_throttling_status,NO_CALL,6
level10,get_throttling_status,get_cpu_frequency,2
level10,get_throttling_status,get_system_status,3
level10,get_throttling_status,get_throttling_status,3
level10,restart_service,NO_CALL,4
level10,restart_service,restart_service,14
full,NO_CALL,NO_CALL,105
full,NO_CALL,get_cpu_frequency,2
full,NO_CALL,get_system_status,4
full,NO_CALL,get_temperature,1
full,NO_CALL,list_displays,1
full,NO_CALL,list_spi_devices,1
full,NO_CALL,list_usb_devices,1
full,NO_CALL,restart_service,3
full,NO_CALL,set_gpio,2
full,check_i2c_device,check_i2c_device,11
full,check_i2c_device,scan_i2c_bus,4
full,dump_i2c_device,dump_i2c_device,3
full,dump_i2c_device,scan_i2c_bus,11
full,get_camera_status,get_camera_status,14
full,get_cpu_frequency,NO_CALL,1
full,get_cpu_frequency,get_cpu_frequency,6
full,get_disk_usage,get_disk_usage,7
full,get_disk_usage,get_system_status,6
full,get_hdmi_status,NO_CALL,2
full,get_hdmi_status,get_hdmi_status,18
full,get_i2c_status,check_i2c_device,3
full,get_i2c_status,get_i2c_status,1
full,get_network_status,NO_CALL,10
full,get_network_status,get_hdmi_status,1
full,get_network_status,get_i2c_status,4
full,get_network_status,get_network_status,3
full,get_network_status,get_system_status,6
full,get_network_status,list_displays,2
full,get_network_status,list_spi_devices,3
full,get_network_status,list_usb_devices,1
full,get_spi_status,get_i2c_status,7
full,get_spi_status,get_spi_status,6
full,get_system_status,NO_CALL,1
full,get_system_status,get_cpu_frequency,4
full,get_system_status,get_i2c_status,2
full,get_system_status,get_system_status,7
full,get_temperature,NO_CALL,9
full,get_temperature,get_temperature,5
full,get_throttling_status,NO_CALL,4
full,get_throttling_status,get_cpu_frequency,3
full,get_throttling_status,get_system_status,3
full,get_throttling_status,get_temperature,2
full,get_throttling_status,get_throttling_status,2
full,get_uart_status,get_i2c_status,5
full,get_uart_status,get_system_status,1
full,get_uart_status,get_uart_status,6
full,get_uart_status,list_serial_ports,1
full,get_usb_topology,NO_CALL,1
full,get_usb_topology,get_usb_topology,9
full,get_usb_topology,list_usb_devices,7
full,list_cameras,NO_CALL,1
full,list_cameras,list_cameras,15
full,list_displays,NO_CALL,1
full,list_displays,list_displays,5
full,list_displays,list_usb_devices,4
full,list_serial_ports,NO_CALL,5
full,list_serial_ports,list_serial_ports,7
full,list_spi_devices,list_displays,1
full,list_spi_devices,list_spi_devices,11
full,list_usb_devices,NO_CALL,5
full,list_usb_devices,list_spi_devices,6
full,list_usb_devices,list_usb_devices,7
full,read_gpio,check_i2c_device,3
full,read_gpio,get_cpu_frequency,1
full,read_gpio,get_hdmi_status,13
full,read_gpio,get_i2c_status,4
full,read_gpio,get_spi_status,2
full,read_gpio,read_gpio,1
full,restart_service,NO_CALL,1
full,restart_service,restart_service,17
full,scan_i2c_bus,NO_CALL,2
full,scan_i2c_bus,check_i2c_device,1
full,scan_i2c_bus,list_displays,1
full,scan_i2c_bus,list_usb_devices,2
full,scan_i2c_bus,scan_i2c_bus,6
full,set_gpio,NO_CALL,17
full,set_gpio,get_cpu_frequency,2
full,set_gpio,get_hdmi_status,14
full,set_gpio,get_system_status,2
full,set_gpio,set_gpio,21
