run,expected_tool,cases,positive_cases,negative_cases,tool_selection_accuracy,argument_accuracy_given_correct_tool,exact_action_accuracy_positive,no_call_accuracy_negative,raw_overall_accuracy,gated_overall_accuracy,execution_count,execution_precision,valid_action_coverage,false_action_count,wrong_positive_execution_count,false_action_rate_negative,mean_confidence,mean_confidence_correct,mean_confidence_incorrect,latency_mean_s,latency_median_s,latency_p95_s
baseline,NO_CALL,120,0,120,0.0,0.0,0.0,0.875,0.875,0.9916666666666667,1,0.0,0.0,1,0,0.008333333333333333,0.724165,0.7913733333333334,0.2537066666666667,1.5128803333333332,1.4495205,1.9030326999999998
baseline,check_i2c_device,15,15,0,0.7333333333333333,1.0,0.7333333333333333,0.0,0.7333333333333333,0.0,0,0.0,0.0,0,0,0.0,0.01758666666666667,0.023945454545454548,0.0001,2.5945142666666663,2.227254,4.852274599999999
baseline,dump_i2c_device,14,14,0,0.21428571428571427,1.0,0.21428571428571427,0.0,0.21428571428571427,0.0,0,0.0,0.0,0,0,0.0,0.03585714285714286,0.07066666666666667,0.026363636363636363,2.151734714285714,1.8722585,2.86400975
baseline,get_camera_status,14,14,0,1.0,0.7857142857142857,0.7857142857142857,0.0,0.7857142857142857,0.5714285714285714,8,1.0,0.5714285714285714,0,0,0.0,0.65015,0.8242545454545455,0.011766666666666667,1.4947818571428573,1.456569,1.7703965
baseline,get_cpu_frequency,7,7,0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,6,1.0,0.8571428571428571,0,0,0.0,0.8013,0.8278666666666666,0.6419,1.4672068571428571,1.420453,1.6910312999999997
baseline,get_disk_usage,13,13,0,0.5384615384615384,1.0,0.5384615384615384,0.0,0.5384615384615384,0.46153846153846156,12,0.5,0.46153846153846156,0,6,0.0,0.8234692307692307,0.8291428571428572,0.81685,1.3185067692307693,1.358068,1.3996464
baseline,get_hdmi_status,20,20,0,0.9,1.0,0.9,0.0,0.9,0.65,13,1.0,0.65,0,0,0.0,0.69362,0.7274055555555555,0.38954999999999995,1.7227602000000002,1.7816105,1.9063532500000002
baseline,get_i2c_status,4,4,0,0.25,1.0,0.25,0.0,0.25,0.25,1,1.0,0.25,0,0,0.0,0.240725,0.9629,0.0,2.57766525,2.7097585,3.5998733499999997
baseline,get_network_status,30,30,0,0.1,1.0,0.1,0.0,0.1,0.0,5,0.0,0.0,0,5,0.0,0.53027,0.5144,0.5320333333333334,1.5821050333333335,1.5718145,1.85365725
baseline,get_spi_status,13,13,0,0.46153846153846156,1.0,0.46153846153846156,0.0,0.46153846153846156,0.23076923076923078,10,0.3,0.23076923076923078,0,7,0.0,0.7298769230769231,0.6258166666666667,0.8190714285714286,1.4025,1.460857,1.5144908
baseline,get_system_status,14,14,0,0.5,1.0,0.5,0.0,0.5,0.5,8,0.875,0.5,0,1,0.0,0.7111999999999999,0.9664285714285714,0.4559714285714286,1.4664337857142857,1.481652,1.60018645
baseline,get_temperature,14,14,0,0.35714285714285715,1.0,0.35714285714285715,0.0,0.35714285714285715,0.2857142857142857,4,1.0,0.2857142857142857,0,0,0.0,0.7091642857142857,0.70416,0.7119444444444444,1.5684095714285713,1.5602800000000001,1.7687625999999999
baseline,get_throttling_status,14,14,0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,4,0.5,0.14285714285714285,0,2,0.0,0.48646428571428574,0.78005,0.43753333333333333,1.495999642857143,1.5104644999999999,1.6498667999999999
baseline,get_uart_status,13,13,0,0.46153846153846156,1.0,0.46153846153846156,0.0,0.46153846153846156,0.07692307692307693,4,0.25,0.07692307692307693,0,3,0.0,0.5860461538461539,0.5184000000000001,0.6440285714285715,1.4387931538461538,1.478846,1.5812856
baseline,get_usb_topology,17,17,0,0.5294117647058824,1.0,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,14,0.6428571428571429,0.5294117647058824,0,5,0.0,0.7373470588235295,0.7469333333333333,0.7265625,1.5033367058823528,1.536112,1.6061494
baseline,list_cameras,16,16,0,0.9375,1.0,0.9375,0.0,0.9375,0.9375,15,1.0,0.9375,0,0,0.0,0.91430625,0.9146333333333333,0.9094,1.3378559375,1.3746420000000001,1.424304
baseline,list_displays,10,10,0,0.5,1.0,0.5,0.0,0.5,0.5,8,0.625,0.5,0,3,0.0,0.6987300000000001,0.87094,0.52652,1.4369591,1.4519540000000002,1.7105682500000001
baseline,list_serial_ports,12,12,0,0.5833333333333334,1.0,0.5833333333333334,0.0,0.5833333333333334,0.5,6,1.0,0.5,0,0,0.0,0.7931666666666667,0.7958857142857143,0.7893600000000001,1.3737660833333332,1.36157,1.5064836000000001
baseline,list_spi_devices,12,12,0,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.0,0.8333333333333334,0.5,6,1.0,0.5,0,0,0.0,0.622625,0.70955,0.188,1.4173915833333333,1.4360475,1.7080874499999998
baseline,list_usb_devices,18,18,0,0.3888888888888889,1.0,0.3888888888888889,0.0,0.3888888888888889,0.1111111111111111,4,0.5,0.1111111111111111,0,2,0.0,0.5925944444444444,0.5984428571428572,0.5888727272727272,1.542961111111111,1.5292315,1.6797517000000002
baseline,read_gpio,24,24,0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.041666666666666664,0.0,2,0.0,0.0,0,2,0.0,0.3609625,0.2538,0.3656217391304348,1.6928412083333333,1.6360215,2.80359005
baseline,restart_service,18,18,0,0.9444444444444444,1.0,0.9444444444444444,0.0,0.9444444444444444,0.6666666666666666,12,1.0,0.6666666666666666,0,0,0.0,0.6860777777777778,0.7259941176470589,0.0075,1.5979696666666667,1.537913,1.8944494499999995
baseline,scan_i2c_bus,12,12,0,0.5,0.8333333333333334,0.4166666666666667,0.0,0.4166666666666667,0.3333333333333333,6,0.6666666666666666,0.3333333333333333,0,2,0.0,0.4627666666666667,0.72138,0.27804285714285715,1.9308663333333334,1.8406105,2.6648366999999995
baseline,set_gpio,56,56,0,0.375,0.8571428571428571,0.32142857142857145,0.0,0.32142857142857145,0.017857142857142856,1,1.0,0.017857142857142856,0,0,0.0,0.22375892857142857,0.09603333333333333,0.28426052631578946,1.8531155178571428,1.798411,2.5327985
schema_revA,NO_CALL,120,0,120,0.0,0.0,0.0,0.7583333333333333,0.7583333333333333,0.9916666666666667,1,0.0,0.0,1,0,0.008333333333333333,0.39421999999999996,0.46044835164835163,0.18639999999999998,6.524460666666667,6.3058844999999994,9.454134700000001
schema_revA,check_i2c_device,15,15,0,0.4666666666666667,1.0,0.4666666666666667,0.0,0.4666666666666667,0.0,0,0.0,0.0,0,0,0.0,0.06742666666666668,0.11765714285714286,0.023475,7.496908133333333,7.459578,7.775754399999999
schema_revA,dump_i2c_device,14,14,0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0,0.0,0.0,0,0,0.0,0.19758571428571428,0.10414999999999999,0.21315833333333334,9.756413285714286,9.731201500000001,10.5893384
schema_revA,get_camera_status,14,14,0,0.6428571428571429,1.0,0.6428571428571429,0.0,0.6428571428571429,0.5714285714285714,8,1.0,0.5714285714285714,0,0,0.0,0.5100357142857143,0.7918888888888889,0.0027,4.553423571428572,4.478918500000001,5.5933282
schema_revA,get_cpu_frequency,7,7,0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,6,1.0,0.8571428571428571,0,0,0.0,0.6249428571428571,0.6249428571428571,0.0,6.666793142857143,5.951451,8.9678092
schema_revA,get_disk_usage,13,13,0,0.38461538461538464,1.0,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464,8,0.625,0.38461538461538464,0,3,0.0,0.5854307692307692,0.62004,0.5638,5.397578076923077,5.491578,5.724612199999999
schema_revA,get_hdmi_status,20,20,0,0.15,1.0,0.15,0.0,0.15,0.0,2,0.0,0.0,0,2,0.0,0.3915,0.5467333333333334,0.36410588235294117,6.917641399999999,6.8261005,7.74930505
schema_revA,get_i2c_status,4,4,0,0.25,1.0,0.25,0.0,0.25,0.25,1,1.0,0.25,0,0,0.0,0.19817500000000002,0.788,0.0015666666666666665,6.414501,6.4538595,7.32575645
schema_revA,get_network_status,30,30,0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.03333333333333333,0.0,5,0.0,0.0,0,5,0.0,0.3235766666666667,0.3548,0.3225,6.7231304666666665,6.68727,8.61710195
schema_revA,get_spi_status,13,13,0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0,10,0.0,0.6863769230769231,0.0,0.6863769230769231,5.488217923076923,5.19324,6.407577
schema_revA,get_system_status,14,14,0,0.5,1.0,0.5,0.0,0.5,0.5,7,1.0,0.5,0,0,0.0,0.6973,0.8657,0.5289,5.654560571428571,5.673153,6.0774001
schema_revA,get_temperature,14,14,0,0.42857142857142855,1.0,0.42857142857142855,0.0,0.42857142857142855,0.07142857142857142,1,1.0,0.07142857142857142,0,0,0.0,0.36823571428571433,0.5298833333333334,0.247,7.154339071428572,7.099234,8.4647124
schema_revA,get_throttling_status,14,14,0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0,0.0,0.0,0,0,0.0,0.2867357142857143,0.3622,0.2809307692307692,5.7495170714285715,6.011137,6.7015351999999995
schema_revA,get_uart_status,13,13,0,0.5384615384615384,1.0,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,10,0.7,0.5384615384615384,0,3,0.0,0.705276923076923,0.7494142857142857,0.6537833333333333,5.184572230769231,5.171248,5.6892828
schema_revA,get_usb_topology,17,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.11648235294117647,0.0,0.11648235294117647,6.389125764705883,6.3703,6.580777599999999
schema_revA,list_cameras,16,16,0,0.9375,1.0,0.9375,0.0,0.9375,0.6875,11,1.0,0.6875,0,0,0.0,0.69111875,0.7050733333333333,0.4818,4.58309575,4.659822999999999,5.042249999999999
schema_revA,list_displays,10,10,0,0.5,1.0,0.5,0.0,0.5,0.4,4,1.0,0.4,0,0,0.0,0.46462000000000003,0.687,0.24224,5.8330186,5.8608484999999995,6.508540099999999
schema_revA,list_serial_ports,12,12,0,0.6666666666666666,0.75,0.5,0.0,0.5,0.3333333333333333,4,1.0,0.3333333333333333,0,0,0.0,0.4153833333333334,0.64745,0.18331666666666668,5.204379833333333,5.1400315,5.7376802499999995
schema_revA,list_spi_devices,12,12,0,0.9166666666666666,0.7272727272727273,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,4,1.0,0.3333333333333333,0,0,0.0,0.3944916666666667,0.5668375,0.049800000000000004,6.476638666666666,6.228515,8.94713275
schema_revA,list_usb_devices,18,18,0,1.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.3888888888888889,7,1.0,0.3888888888888889,0,0,0.0,0.44378333333333336,0.5659071428571428,0.01635,6.579389277777778,6.538087,7.3874914
schema_revA,read_gpio,24,24,0,0.875,0.5238095238095238,0.4583333333333333,0.0,0.4583333333333333,0.0,0,0.0,0.0,0,0,0.0,0.23935833333333334,0.38213636363636366,0.11854615384615384,8.622015583333333,8.7148665,9.61072375
schema_revA,restart_service,18,18,0,0.7777777777777778,1.0,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444444,8,1.0,0.4444444444444444,0,0,0.0,0.5110666666666667,0.6388857142857143,0.0637,7.089810611111111,6.671158,8.99970205
schema_revA,scan_i2c_bus,12,12,0,0.6666666666666666,0.875,0.5833333333333334,0.0,0.5833333333333334,0.08333333333333333,1,1.0,0.08333333333333333,0,0,0.0,0.300825,0.4247,0.1274,7.716545833333334,7.5919360000000005,9.67638925
