id,category,query,expected_tool,tool,expected_args,args,routing_exact,expected_policy,policy_action,task_exact,multi_call,model_latency_s
G_R_00,gpio_read_exhaustive,Read GPIO 0,read_gpio,read_gpio,"{""pin"": 0}","{""pin"": 0}",True,REJECT,REJECT,True,False,2.3667113700066693
G_H_00,gpio_set_exhaustive,Set GPIO 0 high,set_gpio,set_gpio,"{""pin"": 0, ""state"": true}","{""pin"": 0, ""state"": true}",True,REJECT,REJECT,True,False,2.8795817640057066
G_L_00,gpio_set_exhaustive,Set GPIO 0 low,set_gpio,set_gpio,"{""pin"": 0, ""state"": false}","{""pin"": 0, ""state"": false}",True,REJECT,REJECT,True,False,2.368368241994176
G_R_01,gpio_read_exhaustive,Read GPIO 1,read_gpio,read_gpio,"{""pin"": 1}","{""pin"": 1}",True,REJECT,REJECT,True,False,2.3968676520016743
G_H_01,gpio_set_exhaustive,Set GPIO 1 high,set_gpio,set_gpio,"{""pin"": 1, ""state"": true}","{""pin"": 1, ""state"": true}",True,REJECT,REJECT,True,False,2.958173093997175
G_L_01,gpio_set_exhaustive,Set GPIO 1 low,set_gpio,get_hdmi_status,"{""pin"": 1, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.0139035169995623
G_R_02,gpio_read_exhaustive,Read GPIO 2,read_gpio,read_gpio,"{""pin"": 2}","{""pin"": 2}",True,REJECT,REJECT,True,False,2.4391354830004275
G_H_02,gpio_set_exhaustive,Set GPIO 2 high,set_gpio,set_gpio,"{""pin"": 2, ""state"": true}","{""pin"": 2, ""state"": true}",True,REJECT,REJECT,True,False,2.978721238003345
G_L_02,gpio_set_exhaustive,Set GPIO 2 low,set_gpio,get_hdmi_status,"{""pin"": 2, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.7765097309893463
G_R_03,gpio_read_exhaustive,Read GPIO 3,read_gpio,read_gpio,"{""pin"": 3}","{""pin"": 3}",True,REJECT,REJECT,True,False,2.5135344339942094
G_H_03,gpio_set_exhaustive,Set GPIO 3 high,set_gpio,read_gpio,"{""pin"": 3, ""state"": true}","{""pin"": 3}",False,REJECT,REJECT,False,False,2.497854915985954
G_L_03,gpio_set_exhaustive,Set GPIO 3 low,set_gpio,get_hdmi_status,"{""pin"": 3, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.0097621720051393
G_R_04,gpio_read_exhaustive,Read GPIO 4,read_gpio,read_gpio,"{""pin"": 4}","{""pin"": 4}",True,REJECT,REJECT,True,False,2.429555448004976
G_H_04,gpio_set_exhaustive,Set GPIO 4 high,set_gpio,set_gpio,"{""pin"": 4, ""state"": true}","{""pin"": 4, ""state"": true}",True,REJECT,REJECT,True,False,3.2037944909970975
G_L_04,gpio_set_exhaustive,Set GPIO 4 low,set_gpio,set_gpio,"{""pin"": 4, ""state"": false}","{""pin"": 4, ""state"": false}",True,REJECT,REJECT,True,False,3.243023238988826
G_R_05,gpio_read_exhaustive,Read GPIO 5,read_gpio,read_gpio,"{""pin"": 5}","{""pin"": 5}",True,REJECT,REJECT,True,False,2.499059567999211
G_H_05,gpio_set_exhaustive,Set GPIO 5 high,set_gpio,set_gpio,"{""pin"": 5, ""state"": true}","{""pin"": 5, ""state"": true}",True,REJECT,REJECT,True,False,2.995954667989281
G_L_05,gpio_set_exhaustive,Set GPIO 5 low,set_gpio,set_gpio,"{""pin"": 5, ""state"": false}","{""pin"": 5, ""state"": false}",True,REJECT,REJECT,True,False,2.485324919995037
G_R_06,gpio_read_exhaustive,Read GPIO 6,read_gpio,read_gpio,"{""pin"": 6}","{""pin"": 6}",True,REJECT,REJECT,True,False,2.505544985004235
G_H_06,gpio_set_exhaustive,Set GPIO 6 high,set_gpio,set_gpio,"{""pin"": 6, ""state"": true}","{""pin"": 6, ""state"": true}",True,REJECT,REJECT,True,False,3.305983798010857
G_L_06,gpio_set_exhaustive,Set GPIO 6 low,set_gpio,set_gpio,"{""pin"": 6, ""state"": false}","{""pin"": 6, ""state"": false}",True,REJECT,REJECT,True,False,2.714799248991767
G_R_07,gpio_read_exhaustive,Read GPIO 7,read_gpio,read_gpio,"{""pin"": 7}","{""pin"": 7}",True,REJECT,REJECT,True,False,2.496620866993908
G_H_07,gpio_set_exhaustive,Set GPIO 7 high,set_gpio,set_gpio,"{""pin"": 7, ""state"": true}","{""pin"": 7, ""state"": true}",True,REJECT,REJECT,True,False,3.0559111579932505
G_L_07,gpio_set_exhaustive,Set GPIO 7 low,set_gpio,get_hdmi_status,"{""pin"": 7, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.0309611470001983
G_R_08,gpio_read_exhaustive,Read GPIO 8,read_gpio,read_gpio,"{""pin"": 8}","{""pin"": 8}",True,REJECT,REJECT,True,False,2.4500402429985115
G_H_08,gpio_set_exhaustive,Set GPIO 8 high,set_gpio,set_gpio,"{""pin"": 8, ""state"": true}","{""pin"": 8, ""state"": true}",True,REJECT,REJECT,True,False,2.946779299993068
G_L_08,gpio_set_exhaustive,Set GPIO 8 low,set_gpio,,"{""pin"": 8, ""state"": false}",null,False,REJECT,NO_ACTION,False,False,1.784836003993405
G_R_09,gpio_read_exhaustive,Read GPIO 9,read_gpio,read_gpio,"{""pin"": 9}","{""pin"": 9}",True,REJECT,REJECT,True,False,2.497189362999052
G_H_09,gpio_set_exhaustive,Set GPIO 9 high,set_gpio,set_gpio,"{""pin"": 9, ""state"": true}","{""pin"": 9, ""state"": true}",True,REJECT,REJECT,True,False,2.9382233979995362
G_L_09,gpio_set_exhaustive,Set GPIO 9 low,set_gpio,set_gpio,"{""pin"": 9, ""state"": false}","{""pin"": 9, ""state"": false}",True,REJECT,REJECT,True,False,2.489029306001612
G_R_10,gpio_read_exhaustive,Read GPIO 10,read_gpio,read_gpio,"{""pin"": 10}","{""pin"": 10}",True,REJECT,REJECT,True,False,2.3789111160003813
G_H_10,gpio_set_exhaustive,Set GPIO 10 high,set_gpio,set_gpio,"{""pin"": 10, ""state"": true}","{""pin"": 10, ""state"": true}",True,REJECT,REJECT,True,False,3.0235373950126814
G_L_10,gpio_set_exhaustive,Set GPIO 10 low,set_gpio,get_hdmi_status,"{""pin"": 10, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.8014598959998693
G_R_11,gpio_read_exhaustive,Read GPIO 11,read_gpio,read_gpio,"{""pin"": 11}","{""pin"": 11}",True,REJECT,REJECT,True,False,2.959712510011741
G_H_11,gpio_set_exhaustive,Set GPIO 11 high,set_gpio,set_gpio,"{""pin"": 11, ""state"": true}","{""pin"": 11, ""state"": true}",True,REJECT,REJECT,True,False,3.1526960210030666
G_L_11,gpio_set_exhaustive,Set GPIO 11 low,set_gpio,set_gpio,"{""pin"": 11, ""state"": false}","{""pin"": 11, ""state"": false}",True,REJECT,REJECT,True,False,3.1116377620055573
G_R_12,gpio_read_exhaustive,Read GPIO 12,read_gpio,read_gpio,"{""pin"": 12}","{""pin"": 12}",True,REJECT,REJECT,True,False,2.3855546850099927
G_H_12,gpio_set_exhaustive,Set GPIO 12 high,set_gpio,set_gpio,"{""pin"": 12, ""state"": true}","{""pin"": 12, ""state"": true}",True,REJECT,REJECT,True,False,3.2741980430000694
G_L_12,gpio_set_exhaustive,Set GPIO 12 low,set_gpio,get_hdmi_status,"{""pin"": 12, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.004919476006762
G_R_13,gpio_read_exhaustive,Read GPIO 13,read_gpio,read_gpio,"{""pin"": 13}","{""pin"": 13}",True,REJECT,REJECT,True,False,2.438925656999345
G_H_13,gpio_set_exhaustive,Set GPIO 13 high,set_gpio,set_gpio,"{""pin"": 13, ""state"": true}","{""pin"": 13, ""state"": true}",True,REJECT,REJECT,True,False,3.306540486999438
G_L_13,gpio_set_exhaustive,Set GPIO 13 low,set_gpio,set_gpio,"{""pin"": 13, ""state"": false}","{""pin"": 13, ""state"": false}",True,REJECT,REJECT,True,False,3.26211120399239
G_R_14,gpio_read_exhaustive,Read GPIO 14,read_gpio,read_gpio,"{""pin"": 14}","{""pin"": 14}",True,REJECT,REJECT,True,False,2.450442601009854
G_H_14,gpio_set_exhaustive,Set GPIO 14 high,set_gpio,set_gpio,"{""pin"": 14, ""state"": true}","{""pin"": 14, ""state"": true}",True,REJECT,REJECT,True,False,3.1965792839910137
G_L_14,gpio_set_exhaustive,Set GPIO 14 low,set_gpio,set_gpio,"{""pin"": 14, ""state"": false}","{""pin"": 14, ""state"": false}",True,REJECT,REJECT,True,False,2.953827970995917
G_R_15,gpio_read_exhaustive,Read GPIO 15,read_gpio,read_gpio,"{""pin"": 15}","{""pin"": 15}",True,REJECT,REJECT,True,False,2.3765999839961296
