id,category,query,expected_tool,tool,expected_args,args,routing_exact,expected_policy,policy_action,task_exact,multi_call,model_latency_s
G_R_00,gpio_read_exhaustive,Read GPIO 0,read_gpio,read_gpio,"{""pin"": 0}","{""pin"": 0}",True,REJECT,REJECT,True,False,2.183591818989953
G_H_00,gpio_set_exhaustive,Set GPIO 0 high,set_gpio,set_gpio,"{""pin"": 0, ""state"": true}","{""pin"": 0, ""state"": true}",True,REJECT,REJECT,True,False,2.6208725269971183
G_L_00,gpio_set_exhaustive,Set GPIO 0 low,set_gpio,get_hdmi_status,"{""pin"": 0, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.7935186930117197
G_R_01,gpio_read_exhaustive,Read GPIO 1,read_gpio,read_gpio,"{""pin"": 1}","{""pin"": 1}",True,REJECT,REJECT,True,False,2.4982051709957886
G_H_01,gpio_set_exhaustive,Set GPIO 1 high,set_gpio,set_gpio,"{""pin"": 1, ""state"": true}","{""pin"": 1, ""state"": true}",True,REJECT,REJECT,True,False,2.994325107007171
G_L_01,gpio_set_exhaustive,Set GPIO 1 low,set_gpio,get_hdmi_status,"{""pin"": 1, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.072917903002235
G_R_02,gpio_read_exhaustive,Read GPIO 2,read_gpio,read_gpio,"{""pin"": 2}","{""pin"": 2}",True,REJECT,REJECT,True,False,2.5100763570080744
G_H_02,gpio_set_exhaustive,Set GPIO 2 high,set_gpio,set_gpio,"{""pin"": 2, ""state"": true}","{""pin"": 2, ""state"": true}",True,REJECT,REJECT,True,False,2.996441996001522
G_L_02,gpio_set_exhaustive,Set GPIO 2 low,set_gpio,get_hdmi_status,"{""pin"": 2, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.7895280469965655
G_R_03,gpio_read_exhaustive,Read GPIO 3,read_gpio,read_gpio,"{""pin"": 3}","{""pin"": 3}",True,REJECT,REJECT,True,False,2.454639654009952
G_H_03,gpio_set_exhaustive,Set GPIO 3 high,set_gpio,get_hdmi_status,"{""pin"": 3, ""state"": true}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.0572993230016436
G_L_03,gpio_set_exhaustive,Set GPIO 3 low,set_gpio,get_temperature,"{""pin"": 3, ""state"": false}","{""connector"": ""GPIO 3""}",False,REJECT,REJECT,False,False,1.9722015820007073
G_R_04,gpio_read_exhaustive,Read GPIO 4,read_gpio,read_gpio,"{""pin"": 4}","{""pin"": 4}",True,REJECT,REJECT,True,False,2.4537305449921405
G_H_04,gpio_set_exhaustive,Set GPIO 4 high,set_gpio,set_gpio,"{""pin"": 4, ""state"": true}","{""pin"": 4, ""state"": true}",True,REJECT,REJECT,True,False,3.292474025991396
G_L_04,gpio_set_exhaustive,Set GPIO 4 low,set_gpio,set_gpio,"{""pin"": 4, ""state"": false}","{""pin"": 4, ""state"": false}",True,REJECT,REJECT,True,False,2.717500790997292
G_R_05,gpio_read_exhaustive,Read GPIO 5,read_gpio,read_gpio,"{""pin"": 5}","{""pin"": 5}",True,REJECT,REJECT,True,False,2.449179971998092
G_H_05,gpio_set_exhaustive,Set GPIO 5 high,set_gpio,set_gpio,"{""pin"": 5, ""state"": true}","{""pin"": 5, ""state"": true}",True,REJECT,REJECT,True,False,2.9564393750042655
G_L_05,gpio_set_exhaustive,Set GPIO 5 low,set_gpio,get_hdmi_status,"{""pin"": 5, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.8858241490088403
G_R_06,gpio_read_exhaustive,Read GPIO 6,read_gpio,read_gpio,"{""pin"": 6}","{""pin"": 6}",True,REJECT,REJECT,True,False,2.510884111994528
G_H_06,gpio_set_exhaustive,Set GPIO 6 high,set_gpio,set_gpio,"{""pin"": 6, ""state"": true}","{""pin"": 6, ""state"": true}",True,REJECT,REJECT,True,False,3.0664640979957767
G_L_06,gpio_set_exhaustive,Set GPIO 6 low,set_gpio,get_hdmi_status,"{""pin"": 6, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.027934315992752
G_R_07,gpio_read_exhaustive,Read GPIO 7,read_gpio,read_gpio,"{""pin"": 7}","{""pin"": 7}",True,REJECT,REJECT,True,False,2.476093552992097
G_H_07,gpio_set_exhaustive,Set GPIO 7 high,set_gpio,set_gpio,"{""pin"": 7, ""state"": true}","{""pin"": 7, ""state"": true}",True,REJECT,REJECT,True,False,2.7888975749956444
G_L_07,gpio_set_exhaustive,Set GPIO 7 low,set_gpio,get_hdmi_status,"{""pin"": 7, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.0250491309998324
G_R_08,gpio_read_exhaustive,Read GPIO 8,read_gpio,read_gpio,"{""pin"": 8}","{""pin"": 8}",True,REJECT,REJECT,True,False,2.495981183004915
G_H_08,gpio_set_exhaustive,Set GPIO 8 high,set_gpio,set_gpio,"{""pin"": 8, ""state"": true}","{""pin"": 8, ""state"": true}",True,REJECT,REJECT,True,False,2.5233927730005234
G_L_08,gpio_set_exhaustive,Set GPIO 8 low,set_gpio,get_hdmi_status,"{""pin"": 8, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.7804104319948237
G_R_09,gpio_read_exhaustive,Read GPIO 9,read_gpio,read_gpio,"{""pin"": 9}","{""pin"": 9}",True,REJECT,REJECT,True,False,2.448197962003178
G_H_09,gpio_set_exhaustive,Set GPIO 9 high,set_gpio,set_gpio,"{""pin"": 9, ""state"": true}","{""pin"": 9, ""state"": true}",True,REJECT,REJECT,True,False,2.990485408998211
G_L_09,gpio_set_exhaustive,Set GPIO 9 low,set_gpio,get_hdmi_status,"{""pin"": 9, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.8803585919959005
