id,query,category,expected_tool,expected_args,expected_action,risk,style,eligible_levels,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
V1_001,Set GPIO 0 high.,gpio_set,set_gpio,"{'pin': 0, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": true}",,True,,,1.987568,
V1_002,Set GPIO 0 low.,gpio_set,set_gpio,"{'pin': 0, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": false}",,True,,,1.964984,
V1_003,Set GPIO 1 high.,gpio_set,set_gpio,"{'pin': 1, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": true}",,True,,,2.080653,
V1_004,Set GPIO 1 low.,gpio_set,set_gpio,"{'pin': 1, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": false}",,True,,,2.060748,
V1_005,Set GPIO 2 high.,gpio_set,set_gpio,"{'pin': 2, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": true}",,True,,,2.077774,
V1_006,Set GPIO 2 low.,gpio_set,set_gpio,"{'pin': 2, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": false}",,True,,,2.069565,
V1_007,Set GPIO 3 high.,gpio_set,set_gpio,"{'pin': 3, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 3, ""state"": true}",,True,,,2.075296,
V1_008,Set GPIO 3 low.,gpio_set,set_gpio,"{'pin': 3, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.31555,
V1_009,Set GPIO 4 high.,gpio_set,set_gpio,"{'pin': 4, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": true}",,True,,,2.453368,
V1_010,Set GPIO 4 low.,gpio_set,set_gpio,"{'pin': 4, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": false}",,True,,,2.08389,
V1_011,Set GPIO 5 high.,gpio_set,set_gpio,"{'pin': 5, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": true}",,True,,,2.070558,
V1_012,Set GPIO 5 low.,gpio_set,set_gpio,"{'pin': 5, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": false}",,True,,,2.068998,
V1_013,Set GPIO 6 high.,gpio_set,set_gpio,"{'pin': 6, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": true}",,True,,,2.070299,
V1_014,Set GPIO 6 low.,gpio_set,set_gpio,"{'pin': 6, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": false}",,True,,,2.076267,
V1_015,Set GPIO 7 high.,gpio_set,set_gpio,"{'pin': 7, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 7, ""state"": true}",,True,,,2.077807,
V1_016,Set GPIO 7 low.,gpio_set,set_gpio,"{'pin': 7, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.492844,
V1_017,Set GPIO 8 high.,gpio_set,set_gpio,"{'pin': 8, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": true}",,True,,,2.004374,
V1_018,Set GPIO 8 low.,gpio_set,set_gpio,"{'pin': 8, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": false}",,True,,,2.012176,
V1_019,Set GPIO 9 high.,gpio_set,set_gpio,"{'pin': 9, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 9, ""state"": true}",,True,,,2.097288,
V1_020,Set GPIO 9 low.,gpio_set,set_gpio,"{'pin': 9, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 9, ""state"": false}",,True,,,2.11048,
V1_021,Set GPIO 10 high.,gpio_set,set_gpio,"{'pin': 10, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.459645,
V1_022,Set GPIO 10 low.,gpio_set,set_gpio,"{'pin': 10, 'state': False}",CALL,MEDIUM,direct,['full'],get_system_status,{},,False,,,1.431351,
V1_023,Set GPIO 11 high.,gpio_set,set_gpio,"{'pin': 11, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": true}",,True,,,2.588399,
V1_024,Set GPIO 11 low.,gpio_set,set_gpio,"{'pin': 11, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": false}",,True,,,2.509883,
